time_sec,algae,daphnia,beetles,avg_stealth,avg_neuroticism,protected
1750,19,100,0,0.9749707023451333,0.009,0
1760,29,100,0,0.9749707023451333,0.009,0
1770,14,100,0,0.9749707023451333,0.009,60
1780,19,100,0,0.9749707023451333,0.009,0
1790,119,100,0,0.9749707023451333,0.009,0
1800,27,100,0,0.9749707023451333,0.009,0
1810,17,100,0,0.9749707023451333,0.009,0
1820,186,100,0,0.9749707023451333,0.009,8
1830,180,100,0,0.9749707023451333,0.009,0
1841,97,100,0,0.9749707023451333,0.009,0
1851,136,100,0,0.9748739813658724,0.009,0
1861,197,100,0,0.9748739813658724,0.009,0
1871,169,100,0,0.9748739813658724,0.009,0
1881,190,100,0,0.9748739813658724,0.009,7
1891,191,100,0,0.9748739813658724,0.009,7
1901,140,100,0,0.9748739813658724,0.009,0
1911,198,100,0,0.9748739813658724,0.009,0
1921,188,100,0,0.9748739813658724,0.009,5
1931,194,100,0,0.9748739813658724,0.009,2
1941,200,100,0,0.9748739813658726,0.012,0
1951,187,100,0,0.9748739813658726,0.015,3
1961,196,100,0,0.9748739813658726,0.015,0
1972,200,100,0,0.9748739813658726,0.012,0
1982,92,100,0,0.9748739813658726,0.012,0
1992,191,100,0,0.9748739813658726,0.012,0
2002,200,100,0,0.9748739813658726,0.012,0
2012,38,100,0,0.9747772603866116,0.015,0
2022,200,100,0,0.9747772603866116,0.015,1
2032,194,100,0,0.9747772603866116,0.015,0
2042,196,100,0,0.9747772603866116,0.015,0
2052,200,100,0,0.9747772603866116,0.015,0
2062,200,100,0,0.9747772603866116,0.015,0
2072,66,100,0,0.9747772603866116,0.012,0
2082,187,100,0,0.9747772603866116,0.012,0
2092,197,100,0,0.9747772603866116,0.012,3
2102,200,100,0,0.9747772603866116,0.012,0
2112,199,100,0,0.9748723247804176,0.012,1
2122,198,100,0,0.9748723247804176,0.012,1
2133,196,100,0,0.9748723247804176,0.012,0
2143,191,100,0,0.9748723247804176,0.012,2
2153,177,100,0,0.9748723247804176,0.012,0
2163,38,100,0,0.9748723247804176,0.012,0
2173,18,100,0,0.9748723247804176,0.012,0
2183,70,100,0,0.9748723247804176,0.012,0
2193,184,100,0,0.9748723247804176,0.012,10
2203,35,100,0,0.9759010543917008,0.009,1
2213,199,100,0,0.9759010543917008,0.009,0
2223,199,100,0,0.9748723247804176,0.009,0
2233,200,100,0,0.9747772603866116,0.009,0
2243,195,100,0,0.9747772603866116,0.009,1
2253,55,100,0,0.9747772603866116,0.009,0
2263,29,100,0,0.9747772603866116,0.009,0
2273,19,100,0,0.9747772603866116,0.009,0
2283,190,100,0,0.9747772603866116,0.009,0
2293,200,100,0,0.9747772603866116,0.009,0
2303,188,100,0,0.9747772603866116,0.009,0
2313,199,100,0,0.9747772603866116,0.009,0
2323,1,100,0,0.973655218160803,0.009,0
2334,200,100,0,0.9747772603866116,0.009,0
2344,200,100,0,0.9747772603866116,0.009,0
2354,183,99,0,0.9749988647212698,0.00909090909090909,0
2364,200,100,0,0.9747772603866116,0.009,0
2374,200,100,0,0.9775112060367629,0.009,0
2384,182,100,0,0.9775112060367629,0.009,1
2394,191,100,0,0.9775112060367629,0.009,0
2404,188,100,0,0.9775112060367629,0.009,0
2414,199,100,0,0.9775112060367629,0.009,0
2424,188,100,0,0.9775112060367629,0.009,0
