time_sec,algae,daphnia,beetles,d_stealth,d_bottom_feeding,algae_bottom
1866,22,119,5,0.4144098615202566,0.555738822927173,10
1881,227,114,5,0.41443733505491137,0.5562847845549538,0
1896,39,116,5,0.41601704236943343,0.5576481725909985,15
1911,74,110,5,0.4181515403217739,0.5542668643783086,38
1926,173,83,5,0.41893791581944156,0.5515746926029398,0
1941,35,118,5,0.4136584695225841,0.5505984289648077,15
1956,57,50,5,0.4166666011487028,0.55660149280471,0
1971,229,120,5,0.4140548853466891,0.5720253238761709,33
1986,15,119,5,0.4041703070534779,0.5664802005276993,9
2001,46,120,5,0.40763701660130247,0.5681757527606935,7
2016,25,80,5,0.39836374610408015,0.5595671693774957,5
2031,250,110,5,0.40608727064816974,0.5635885581209544,31
2046,250,103,5,0.40554767462776703,0.5652289490842429,5
2061,205,117,5,0.39317833923426543,0.5848736774471425,0
2076,250,118,5,0.40700617754216445,0.5753366801832492,14
2092,249,119,5,0.4060697760498392,0.5676138952690222,15
2107,245,119,5,0.4111547569490136,0.5669934012573818,0
2122,250,105,5,0.4116126743487835,0.5682328780782699,10
2137,246,81,5,0.4103532529750651,0.5636366727312969,6
2152,29,116,5,0.40649734256329056,0.5594456116299752,17
2167,23,102,5,0.39920424799049253,0.5691879121023673,23
2182,223,90,5,0.41269883023431936,0.5795057329682708,0
2197,89,117,5,0.4147542688202391,0.5768639229970051,12
2212,35,119,5,0.4094802829341743,0.5763423843747483,35
2227,40,120,5,0.4075203596577762,0.5688859666315742,15
2242,23,118,5,0.41518831882430746,0.5763956582265409,17
2257,60,97,5,0.4357499985187455,0.5754324733991945,4
2272,250,120,5,0.4354258454900443,0.5731006606173085,5
2287,41,118,5,0.4319840364358556,0.5630402440999599,8
2302,122,92,5,0.43842443345783905,0.556745477199374,20
2317,250,119,5,0.44779021850006945,0.5574704865541857,14
2332,222,119,5,0.450532640028116,0.556575773691858,11
2347,247,120,5,0.4558694518993377,0.5564358243647828,29
2362,47,119,5,0.4504731613315968,0.5585730316939436,16
2377,23,118,5,0.449519934257746,0.5597690675832294,13
2392,233,119,5,0.44270132159560355,0.5586566389559446,0
2407,172,77,6,0.47039040676097044,0.5654725332469529,0
2422,36,103,6,0.47450265292227817,0.566482662514952,15
2437,15,120,6,0.47965343539621397,0.5752910901763802,15
2453,250,119,6,0.4849932515769562,0.5794765224164384,12
2468,250,120,6,0.48110619750214567,0.5795401217207232,20
2483,229,111,6,0.4640278050489352,0.5709850624416047,33
2498,45,108,6,0.5280727432631295,0.5801582140924575,12
2513,222,89,6,0.5013770104646592,0.5711781888432998,15
2528,250,119,6,0.5458971416601832,0.5806208249848311,14
2543,250,80,6,0.5311492875740772,0.5840344442058637,10
2558,28,120,6,0.5396829009035825,0.5891725739289734,18
2573,248,103,6,0.557824379697811,0.5945311551600592,20
2588,194,66,6,0.5485137364746787,0.5869984642715819,38
2603,31,119,6,0.5446825039809317,0.5852597861614177,18
2618,25,97,6,0.5522905189432304,0.5873190720293758,18
2633,247,60,6,0.5541430583995048,0.582290947053389,19
2648,27,114,6,0.5829076271372865,0.6144172838447407,9
2663,250,77,6,0.5835312336660408,0.6161018940316758,0
2678,250,88,6,0.5803255679640675,0.6287636842690766,8
2693,26,119,6,0.5852846868212089,0.6245178686174769,7
2708,250,0,6,0,0,0
2723,250,0,6,0,0,0
2738,250,0,1,0,0,0
2753,250,0,0,0,0,0
2768,250,0,0,0,0,0
2784,250,0,0,0,0,0
2799,250,0,0,0,0,0
2814,250,0,0,0,0,0
2829,250,0,0,0,0,0
2844,250,0,0,0,0,0
2859,250,0,0,0,0,0
2874,250,0,0,0,0,0
2889,250,0,0,0,0,0
2904,250,0,0,0,0,0
2919,250,0,0,0,0,0
2934,250,0,0,0,0,0
2949,250,0,0,0,0,0
2964,250,0,0,0,0,0
